Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
FANTA CITRON BTE SLIM 33CL,396680,1,203145,"MEAT_SPECIAL_HANDLING-1-20-C1-3,MEAT_SPECIAL_HANDLING-3-1-A1-2,MEAT_SPECIAL_HANDLING-3-8-B1-1,MEAT_SPECIAL_HANDLING-1-22-C1-2",170,4080,171,4104,0,0,-1,-24
LANGOUSTINE 20/30 COTE EST EC X3 P/ANE.NEPHROPS NORVEGICUS,706765,1,706765,"IN-5,CROSS_DOCKING-MEAT_SPECIAL_HANDLING-1",18,18,24,24,18,18,-24,-24
COCA COLA CHERRY PET 50CL,396665,1,202960,"MEAT_SPECIAL_HANDLING-4-4-B1-2,MEAT_SPECIAL_HANDLING-3-31-A1-3,IN-1,MEAT_SPECIAL_HANDLING-4-16-C1-4,MEAT_SPECIAL_HANDLING-1-17-B1-1",497,5964,499,5988,0,0,-2,-24
SCHWEPPES AGRUM SLIM 33CL,396252,1,201564,"MEAT_SPECIAL_HANDLING-2-13-B1-1,MEAT_SPECIAL_HANDLING-3-5-A1-1",104,2496,105,2520,0,0,-1,-24
TROPICO TROPICAL BTE 33CL SLIM,847847,1,254864,"MEAT_SPECIAL_HANDLING-1-18-C1-3,MEAT_SPECIAL_HANDLING-2-26-A1-1,MEAT_SPECIAL_HANDLING-4-3-B1-2",134,3216,135,3240,0,0,-1,-24
CAPRE SURFINE 105ML VITALYS,839590,1,247037,"MEAT_SPECIAL_HANDLING-6-13-A3-4,MEAT_SPECIAL_HANDLING-10-1-A1-5",4,24,8,48,0,0,-4,-24
AEROSOL SUCREE 250ML WHIPPY,829930,1,236386,MEAT_SPECIAL_HANDLING-22-10-A1-4,160,160,184,184,0,0,-24,-24
EMIN GAZ VALS.33CL  VP,396440,1,202619,"MEAT_SPECIAL_HANDLING-2-32-A1-1,MEAT_SPECIAL_HANDLING-5-31-A2-3",10,240,11,264,0,0,-1,-24
SIROP RIOBA CITRON RIOR 1L,319034,1,17296,MEAT_SPECIAL_HANDLING-5-25-A2-1,15,15,39,39,0,0,-24,-24
MINUTE MAID POMME SLIM 33CL,872486,1,281758,"MEAT_SPECIAL_HANDLING-1-20-C1-2,MEAT_SPECIAL_HANDLING-3-3-A1-2,IN-1",109,2616,110,2640,0,0,-1,-24
LIPTON PASTEQ MENT SLEEK 33CL,859425,1,267140,"MEAT_SPECIAL_HANDLING-1-12-C1-3,MEAT_SPECIAL_HANDLING-1-20-A1-2,MEAT_SPECIAL_HANDLING-1-18-C1-2",74,1776,75,1800,0,0,-1,-24
ROCHE DES ECRINS PET 50CL,397104,1,202141,"MEAT_SPECIAL_HANDLING-3-10-C1-1,MEAT_SPECIAL_HANDLING-3-27-B1-2,MEAT_SPECIAL_HANDLING-3-27-A1-3,MEAT_SPECIAL_HANDLING-4-6-C1-2,MEAT_SPECIAL_HANDLING-4-4-B1-1,MEAT_SPECIAL_HANDLING-3-11-B1-3,MEAT_SPECIAL_HANDLING-3-31-A1-2,IN-1",357,8568,358,8592,0,0,-1,-24
FANTA MANG/FR DRAG BTE 33CL,839048,1,246171,"MEAT_SPECIAL_HANDLING-1-17-C1-2,MEAT_SPECIAL_HANDLING-2-9-A1-3,MEAT_SPECIAL_HANDLING-1-21-B1-1",43,1032,44,1056,0,0,-1,-24
RIOBA ABC ANANAS TO 25CL,396960,1,201669,"MEAT_SPECIAL_HANDLING-2-26-A1-3,MEAT_SPECIAL_HANDLING-5-29-A3-2",19,456,20,480,0,0,-1,-24
FUZETEA MENTH/CITRON VERT 33CL,857386,1,264538,"MEAT_SPECIAL_HANDLING-1-10-A1-1,IN-1",106,2544,107,2568,0,0,-1,-24
CARRE FILET DOUBLE AGN S/V UK,290658,1,96178,MEAT_SPECIAL_HANDLING-26-2-A2-7,0,0,23.48,23.48,0,0,-23.48,-23.48
TARTARE VBF 5%MG 180GX1 S/AT,854664,1,262062,UNLOADING-1,-7,-7,16,16,0,0,-23,-23
MC AMANDE BRUTE 23/25 1KG,889451,1,300706,"MEAT_SPECIAL_HANDLING-10-35-A3-1,MEAT_SPECIAL_HANDLING-10-28-C1-2",44,44,67,67,0,0,-23,-23
MPRO FOURCHET BOIS 16 CM,893243,1,305116,"MEAT_SPECIAL_HANDLING-6-25-C1-1,MEAT_SPECIAL_HANDLING-7-23-A2-5",779,779,799,799,0,0,-20,-20
CIBOULETTE BOTTE  MC 20gr,31277,1,31277,"IN-1,MEAT_SPECIAL_HANDLING-33-8-A3-1,MEAT_SPECIAL_HANDLING-33-11-A1-1",74,370,78,390,0,0,-4,-20
BADOIT 50CL X6 PET,396676,1,203142,"MEAT_SPECIAL_HANDLING-3-17-B1-1,MEAT_SPECIAL_HANDLING-3-29-A1-2,MEAT_SPECIAL_HANDLING-1-9-C1-2,MEAT_SPECIAL_HANDLING-3-10-C1-3,MEAT_SPECIAL_HANDLING-1-21-B1-2,MEAT_SPECIAL_HANDLING-1-33-B1-2,MEAT_SPECIAL_HANDLING-3-13-C1-1,MEAT_SPECIAL_HANDLING-1-3-C1-1,MEAT_SPECIAL_HANDLING-3-13-B1-2,MEAT_SPECIAL_HANDLING-4-8-C1-1",404,2020,408,2040,0,0,-4,-20
PREPA CREM BRULEE 1L PRESIDENT,207277,1,7279,MEAT_SPECIAL_HANDLING-25-22-A1-1,250,250,270,270,0,0,-20,-20
SAUMON 6/7 X20 EL/NO.SALMO SALAR,18017,1,18017,IN-5,-1.07,-1.07,18.78,18.78,0,0,-19.85,-19.85
JOUE PORC SEMI PARE S/V UE,673974,1,10798,MEAT_SPECIAL_HANDLING-20-14-A1-4,-5.59,-5.59,13.47,13.47,0,0,-19.060000000000002,-19.060000000000002
ONGLET S/P S/V UE,215396,1,15398,MEAT_SPECIAL_HANDLING-24-14-A4-4,2.06,2.06,20.48,20.48,0,0,-18.42,-18.42
ANJOU BLC LOG BRAY 75CL,808761,1,214362,MEAT_SPECIAL_HANDLING-8-33-A4-2,0,0,3,18,0,0,-3,-18
ABATILLE GAZ 50CL  PET,396843,1,285940,"MEAT_SPECIAL_HANDLING-4-4-C1-1,MEAT_SPECIAL_HANDLING-3-19-A1-2",413,2478,416,2496,0,0,-3,-18
VDF BLC PREJUGES 75CL,888227,1,299107,"MEAT_SPECIAL_HANDLING-8-22-B1-3,MEAT_SPECIAL_HANDLING-9-13-A1-1",24,144,27,162,0,0,-3,-18
ARO ABC ANANAS BRICK 1L,839411,1,246860,MEAT_SPECIAL_HANDLING-4-11-A4-3,-1,-6,2,12,0,0,-3,-18
ORANGINA JAUN 1.5L,397662,1,202572,"MEAT_SPECIAL_HANDLING-3-13-A1-1,MEAT_SPECIAL_HANDLING-1-19-C1-1,MEAT_SPECIAL_HANDLING-1-35-C1-1,MEAT_SPECIAL_HANDLING-3-11-C1-2",252,1512,255,1530,0,0,-3,-18
SUCRE PDR ETUI BV 1KG ROCHAMB,839757,1,247304,MEAT_SPECIAL_HANDLING-10-29-C1-2,33,198,36,216,0,0,-3,-18
SC CARAMEL LAIT 1KG SWEETIES,682351,1,100213,MEAT_SPECIAL_HANDLING-10-32-A3-2,31,31,49,49,0,0,-18,-18
CHEF NAT LIQ DEMI GLACE 1L,145297,1,145748,MEAT_SPECIAL_HANDLING-10-2-B1-1,138,138,156,156,0,0,-18,-18
BADOIT VERT 1L PET,397304,1,202327,MEAT_SPECIAL_HANDLING-3-14-A1-3,41,246,44,264,0,0,-3,-18
CARCASSE POULET VRAC FR,819799,1,226657,UNLOADING-1,234.31,234.31,126.14,126.14,126.1,126.1,-17.930000000000007,-17.930000000000007
