Article Name;Article number (MGB);Var;Locations;MMS Stock;MMS Stock (1 piece);WMS Stock;WMS Stock (1 piece);Pick qty;Pick qty (1 piece);Difference;Difference (1 piece)
ORANGINA 50CL PET;396951;1;MEAT_SPECIAL_HANDLING-3-3-B1-2,MEAT_SPECIAL_HANDLING-1-25-C1-1,MEAT_SPECIAL_HANDLING-3-11-B1-2,MEAT_SPECIAL_HANDLING-4-2-C1-2,INSPECTION-3,MEAT_SPECIAL_HANDLING-12-25-C1-2,MEAT_SPECIAL_HANDLING-12-25-C1-1,MEAT_SPECIAL_HANDLING-12-25-B1-1,MEAT_SPECIAL_HANDLING-2-30-B1-1,MEAT_SPECIAL_HANDLING-3-31-A1-1,MEAT_SPECIAL_HANDLING-4-14-B1-1,MEAT_SPECIAL_HANDLING-12-21-C1-3,MEAT_SPECIAL_HANDLING-1-31-C1-1;1124;13488;1125;13500;0;0;-1;-12
LIQ APERITIVO MB 15D 70CL;894708;1;MEAT_SPECIAL_HANDLING-9-35-A1-5,MEAT_SPECIAL_HANDLING-9-17-A4-3;12;12;24;24;0;0;-12;-12
ALLUMEUR ELECT RECHARG FLEX;896786;1;MEAT_SPECIAL_HANDLING-4-23-B1-1,MEAT_SPECIAL_HANDLING-5-18-A1-1;8;8;20;20;0;0;-12;-12
MPRO 500 PAILLE BLANC D8 20CM;888240;1;MEAT_SPECIAL_HANDLING-6-2-B1-2,MEAT_SPECIAL_HANDLING-6-3-A2-1,INSPECTION-3;80;80;92;92;0;0;-12;-12
ROCH POIS CHICHE 4/4;835338;1;MEAT_SPECIAL_HANDLING-9-16-B1-2,MEAT_SPECIAL_HANDLING-7-15-A1-3;22;132;24;144;0;0;-2;-12
ITA BLC BORGOBRUNO 75CL;836608;1;MEAT_SPECIAL_HANDLING-8-21-A2-2,MEAT_SPECIAL_HANDLING-8-18-A2-4;12;72;14;84;0;0;-2;-12
MONSTER MANGO LOCO BOITE 50CL;839025;1;INSPECTION-3,MEAT_SPECIAL_HANDLING-4-26-C1-1,MEAT_SPECIAL_HANDLING-4-6-A2-5,MEAT_SPECIAL_HANDLING-5-31-A4-3;36;432;37;444;0;0;-1;-12
PERONI NASTRO AZZURRO 5D 33CL;883740;1;MEAT_SPECIAL_HANDLING-4-9-A3-1,MEAT_SPECIAL_HANDLING-2-25-A1-2;16;192;17;204;0;0;-1;-12
BURGER BRIOCHE 6X77G MC;900800;1;MEAT_SPECIAL_HANDLING-22-10-A1-2,MEAT_SPECIAL_HANDLING-26-13-B1-2,MEAT_SPECIAL_HANDLING-24-21-A1-2,MEAT_SPECIAL_HANDLING-25-1-B1-1;384;384;396;396;0;0;-12;-12
ROCHAMBEAU ANANAS MORC.3/4;807420;1;MEAT_SPECIAL_HANDLING-6-9-A4-1;27;162;29;174;0;0;-2;-12
50 BOL SALADE CARTON NR 750ML;867024;1;UNLOADING-1,MEAT_SPECIAL_HANDLING-12-11-B1-1,MEAT_SPECIAL_HANDLING-12-9-B1-1,MEAT_SPECIAL_HANDLING-12-7-C1-3,MEAT_SPECIAL_HANDLING-12-8-A4-1,MEAT_SPECIAL_HANDLING-12-9-A1-1;43;43;55;55;0;0;-12;-12
