Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
SOLIV LIQ VAISS MAIN ECOLAB 5L,879918,1,290088,MEAT_SPECIAL_HANDLING-5-28-A4-2,20,20,4,4,0,0,16,16
50 SAC POIGNEE KRAFT 32X22X24,833240,1,239596,MEAT_SPECIAL_HANDLING-7-4-A1-1,34,34,17,17,1,1,16,16
MC AMANDE BLANCHE EFFILEE 1KG,888933,1,299950,"INSPECTION-3,MEAT_SPECIAL_HANDLING-10-5-A4-2",29,29,13,13,0,0,16,16
SAL FDC MIXTE MC PC8 C1 FRFRANCE,702350,1,702350,MEAT_SPECIAL_HANDLING-31-3-A1-1,9,72,6,48,1,8,2,16
ANJOU BLC LOG BRAY 75CL,808761,1,null,null,18,18,0,0,0,0,18,18
SAUCE CAFE      1KG SWEETIES,682346,1,100167,MEAT_SPECIAL_HANDLING-10-27-A4-5,26,26,8,8,0,0,18,18
MOUSSE FRAISE 860G ALSA,666085,1,79229,MEAT_SPECIAL_HANDLING-10-6-A4-2,30,30,12,12,0,0,18,18
CREME UHT 35% 1L MC BK AP,839276,1,246736,"MEAT_SPECIAL_HANDLING-22-18-A1-2,MEAT_SPECIAL_HANDLING-24-17-B1-1,MEAT_SPECIAL_HANDLING-23-4-A1-3",293,1758,287,1722,3,18,3,18
THOR 30L FUT   VIDE (CONSIGNE),226875,1,null,null,18,18,0,0,0,0,18,18
SCE FRUIT ROUGE 1KG SWEETIES,682350,1,100209,MEAT_SPECIAL_HANDLING-10-33-A1-1,22,22,4,4,0,0,18,18
"BONBON ACCUEI MENT 1,4KG RIOBA",322950,1,55249,"MEAT_SPECIAL_HANDLING-11-23-A3-5,MEAT_SPECIAL_HANDLING-11-23-B1-1",27,27,9,9,0,0,18,18
MASCARPONE POT 500G MC,236214,1,39216,"MEAT_SPECIAL_HANDLING-21-9-B1-1,MEAT_SPECIAL_HANDLING-23-4-A1-4",741,741,673,673,50,50,18,18
50 CUILLERE A SOUPE PAP 17CM,882590,1,293166,MEAT_SPECIAL_HANDLING-5-35-A4-5,25,25,6,6,0,0,19,19
TUBE CO2 10KG BICOLORE PLEINE,135185,1,null,null,19,19,0,0,0,0,19,19
50 FOURCHETTE PAP 17CM,882461,1,293012,MEAT_SPECIAL_HANDLING-5-36-A1-5,40,40,21,21,0,0,19,19
