Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
FANTA MANG/FR DRAG BTE 33CL,839048,1,246171,"MEAT_SPECIAL_HANDLING-2-9-A1-3,MEAT_SPECIAL_HANDLING-1-17-C1-2,MEAT_SPECIAL_HANDLING-1-21-B1-1",48,1152,49,1176,0,0,-1,-24
EMIN GAZ VALS.33CL  VP,396440,1,202619,"MEAT_SPECIAL_HANDLING-2-32-A1-1,MEAT_SPECIAL_HANDLING-5-31-A2-3",11,264,12,288,0,0,-1,-24
FUZETEA MENTH/CITRON VERT 33CL,857386,1,264538,MEAT_SPECIAL_HANDLING-1-10-A1-1,35,840,36,864,0,0,-1,-24
CREME ANGLAISE 1L MC,636829,1,71625,MEAT_SPECIAL_HANDLING-22-6-A1-1,160,160,184,184,0,0,-24,-24
SIROP RIOBA CITRON RIOR 1L,319034,1,17296,MEAT_SPECIAL_HANDLING-5-25-A2-1,16,16,40,40,0,0,-24,-24
CDP CH MAUVANN RSE MIL 75CL AO,815592,1,221718,MEAT_SPECIAL_HANDLING-8-35-A3-2,0,0,4,24,0,0,-4,-24
COCA COLA CHERRY PET 50CL,396665,1,202960,"MEAT_SPECIAL_HANDLING-3-31-A1-3,MEAT_SPECIAL_HANDLING-4-4-B1-2,MEAT_SPECIAL_HANDLING-4-16-C1-4",263,3156,265,3180,0,0,-2,-24
JEX PRO DECAPANT FOUR 1L,876110,1,285763,MEAT_SPECIAL_HANDLING-6-1-A1-3,21,21,45,45,0,0,-24,-24
"TORTILLAS 30CMX18 1,6KG MC",829909,1,236559,"MEAT_SPECIAL_HANDLING-22-11-A1-2,MEAT_SPECIAL_HANDLING-20-14-A1-1",98,98,122,122,0,0,-24,-24
ENTRECOTE 4KG+ UE,688758,1,29149,"MEAT_SPECIAL_HANDLING-26-9-A4-6,MEAT_SPECIAL_HANDLING-25-5-B1-4,MEAT_SPECIAL_HANDLING-25-5-A1-6",75.78,75.78,99.29,99.29,0,0,-23.510000000000005,-23.510000000000005
